Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
430	10662	Ginkel, Kevin	ARZ	P	431.04	255	570		27		
431	9417	Benintendi, Andrew	CWS	OF	431.30	324	501		27		
432	12479	Emerson, Colt	SEA	SS	431.63	383	502		27		
433	11634	Roupp, Landen	SF	P	433.00	376	490		27		
434	12190	Rushing, Dalton	LAD	C	436.15	347	514		27		
435	8331	Soler, Jorge	LAA	OF	436.37	339	479		27		
436	10067	Springs, Jeffrey	ATH	P	438.30	368	506		27		
437	9802	Dubon, Mauricio	ATL	2B, 3B, SS, OF	439.07	323	530		27		
438	10626	Yastrzemski, Mike	ATL	OF	440.85	374	518		27		
439	10147	Garrett, Braxton	MIA	P	441.59	379	489		27		
440	9523	Andujar, Miguel	SD	3B, OF	442.74	354	497		27		
441	11836	Cecconi, Slade	CLE	P	444.15	379	562		27		
442	8951	Berrios, Jose	TOR	P	444.30	344	507		27		
443	11588	Bradley, Taj	MIN	P	444.89	328	568		27		
444	10892	Oviedo, Johan	BOS	P	445.22	396	515		27		
445	5420	Verlander, Justin	DET	P	446.11	329	539		27		
446	10226	McCarthy, Jake	COL	OF	446.78	350	535		27		
447	11625	Ortiz, Joey	MLW	SS	447.44	359	501		27		
448	9795	Jansen, Danny	TEX	C	447.74	348	508		27		
449	11395	Faucher, Calvin	MIA	P	448.37	251	548		27		
450	9430	Weaver, Luke	NYM	P	448.59	288	539		27		
451	9791	Soroka, Michael	ARZ	P	448.63	370	586		27		
452	12477	Waldschmidt, Ryan	ARZ	OF	448.74	378	512		27		
453	9677	Maton, Phil	CHC	P	451.22	362	519		27		
454	8126	Goldschmidt, Paul	NYY	1B	452.11	360	523		27		
455	12216	Bazzana, Travis	CLE	2B	452.93	375	542		27		
456	10287	Liberatore, Matthew	STL	P	453.41	345	536		27		
457	10999	Meyers, Jake	HOU	OF	453.56	352	528		27		
458	12194	Moore, Christian	LAA	2B	454.22	349	543		27		
459	12266	Svanson, Matt	STL	P	454.81	352	541		27		
460	11868	Boyle, Joe	TB	P	456.19	331	507		27		
461	10446	Thomas, Lane	KC	OF	457.44	392	512		27		
462	8748	Martinez, Nick	TB	P	457.78	302	546		27		
463	11594	Olson, Reese	DET	P	457.96	319	588		20		
464	12241	Clarke, Denzel	ATH	OF	458.67	386	531		27		
465	9706	Kittredge, Andrew	BAL	P	459.00	331	538		27		
466	12502	Baez, Joshua	STL	OF	460.52	407	549		27		
467	11297	Brash, Matt	SEA	P	463.56	314	543		27		
468	10434	Perez, Wenceel	DET	OF	465.85	412	522		27		
469	12482	Mack, Joe	MIA	C	466.00	360	526		27		
470	12198	Sproat, Brandon	MLW	P	467.93	354	532		27		
471	10189	May, Dustin	STL	P	468.67	425	540		27		
472	11923	Williams, Jett	MLW	SS	469.67	354	579		27		
473	11662	Ferrer, Jose A.	SEA	P	470.48	309	597		26		
474	11266	Latz, Jacob	TEX	P	471.81	364	554		27		
475	11193	Wells, Tyler	BAL	P	475.37	373	541		27		
476	12214	Kim, Hyeseong	LAD	2B	475.59	404	542		27		
477	11276	Gonzalez, Romy	BOS	1B, 2B	475.96	393	589		27		
478	10245	Bart, Joey	PIT	C	476.81	388	564		27		
479	8958	Severino, Luis	ATH	P	479.00	394	528		27		
480	10379	Rocchio, Brayan	CLE	2B, SS	479.63	380	586		27		
481	9921	Erceg, Lucas	KC	P	479.74	383	559		27		
482	9470	Higashioka, Kyle	TEX	C	480.07	349	587		27		
483	11632	Abel, Mick	MIN	P	482.96	417	536		27		
484	10203	Lux, Gavin	TB	OF	484.59	336	591		27		
485	11350	Diaz, Alexis	TEX	P	485.30	296	590		26		
486	12024	Williams, Carson	TB	SS	485.70	396	588		27		
487	9175	Houser, Adrian	SF	P	486.56	295	582		27		
488	11754	Joyce, Ben	LAA	P	487.59	306	579		26		
489	12040	Jenkins, Walker	MIN	OF	490.15	399	558		27		
490	10262	Hayes, Ke'Bryan	CIN	3B	490.67	424	561		27		
491	10200	Arias, Gabriel	CLE	2B, SS	490.67	389	576		27		
492	10183	Kremer, Dean	BAL	P	493.44	423	581		27		
493	11926	House, Brady	WAS	3B	494.52	406	546		27		
494	12046	Melton, Jacob	TB	OF	495.30	388	598		27		
495	9725	Hoskins, Rhys	MLW	1B	495.89	375	575		26		
496	12169	Halvorsen, Seth	COL	P	497.19	299	570		24		
497	12301	Muncy, Max	ATH	2B, 3B	498.19	344	591		27		
498	11943	Hicks, Liam	MIA	1B, C	499.56	326	560		27		
499	9936	Keller, Brad	PHI	P	500.04	377	593		27		
500	9977	Mountcastle, Ryan	BAL	1B	503.11	326	586		25		
501	12189	Condon, Charlie	COL	1B	503.52	359	567		27		
502	8768	Martin, Chris	TEX	P	503.81	322	588		26		
503	11905	Johnston, Troy	COL	OF	503.96	326	562		26		
504	12128	Baldwin, Brooks	CWS	OF	505.11	418	590		27		
505	11592	Julien, Edouard	COL	1B, 2B	508.00	422	577		26		
506	11755	Burke, Sean	CWS	P	509.74	460	562		26		
507	10309	Smith, Pavin	ARZ	1B	510.67	458	574		27		
508	10880	Pages, Pedro	STL	C	511.07	414	599		27		
509	9642	Sewald, Paul	ARZ	P	511.81	379	595		22		
510	12183	Rocker, Kumar	TEX	P	512.15	417	567		27		
511	10142	Alexander, Blaze	BAL	3B	512.67	429	575		26		
512	11933	Lowder, Rhett	CIN	P	516.04	420	596		27		
513	11912	Scott, Christian	NYM	P	519.22	419	571		22		
514	10296	Lowe, Nathaniel	BOS	1B	519.89	251	595		23		
515	9648	Leiter Jr., Mark	ATH	P	520.70	286	598		23		
516	8979	Moncada, Yoan	LAA	3B	520.78	316	589		27		
517	11204	Mitchell, Garrett	MLW	OF	522.07	415	581		24		
518	11364	Sands, Cole	MIN	P	522.15	349	600		24		
519	11597	Harrison, Kyle	MLW	P	524.07	441	579		26		
520	9205	Strahm, Matt	KC	P	524.48	394	600		27		
521	11424	Varland, Louis	TOR	P	526.44	280	592		24		
522	12329	Rodriguez, Elmer	NYY	P	527.11	448	585		25		
523	11637	Lukes, Nathan	TOR	OF	528.41	420	596		26		
524	8633	Harvey, Hunter	CHC	P	528.67	442	577		25		
525	11528	Gaddis, Hunter	CLE	P	528.78	399	597		24		
526	12137	McGreevy, Michael	STL	P	530.15	389	583		26		
527	10356	Freeman, Tyler	COL	OF	530.89	460	572		23		
528	12435	Kayfus, CJ	CLE	OF	531.15	467	589		24		
529	12592	Song, Sung-Mun	SD	3B	532.22	406	587		24		
530	11331	Veen, Zac	COL	OF	533.26	472	600		25		
531	8689	Matz, Steven	TB	P	533.59	449	588		24		
532	12461	Cole, Zach	HOU	OF	533.78	405	591		26		
533	11742	Davis, Henry	PIT	C	535.00	299	594		24		
534	12047	Jones, Spencer	NYY	OF	537.26	448	600		24		
535	10748	Griffin, Foster	WAS	P	537.52	414	594		22		
536	9863	Kiner-Falefa, Isiah	BOS	3B, SS	538.00	417	600		25		
537	11154	Morel, Christopher	MIA	OF	541.07	471	582		24		
538	10518	Romano, Jordan	LAA	P	542.11	372	598		23		
539	10833	Martin, Austin	MIN	OF	542.37	449	588		25		
540	11910	Ryan, River	LAD	P	542.56	429	599		24		
541	10372	Ashby, Aaron	MLW	P	543.52	460	596		26		
542	12177	Sanoja, Javier	MIA	2B, 3B, OF	543.74	451	592		24		
543	11624	Gelof, Zack	ATH	2B	545.44	414	587		23		
544	10126	Thomas, Alek	ARZ	OF	545.63	375	600		24		
545	8632	Rodriguez, Eduardo	ARZ	P	548.96	473	595		22		
546	12367	Clark, Max	DET	OF	549.56	390	582		18		
547	11895	Saggese, Thomas	STL	2B, SS	550.67	444	598		24		
548	12279	Garcia, Jhostynxon	PIT	OF	553.74	427	594		22		
549	12250	Tawa, Tim	ARZ	1B, OF, 2B	553.81	462	598		23		
550	9123	Armstrong, Shawn	CLE	P	554.41	362	598		20		
551	9892	Soto, Gregory	PIT	P	555.11	451	595		20		
552	9792	Puk, A.J.	ARZ	P	556.22	397	598		20		
553	11822	Leahy, Kyle	STL	P	556.48	463	597		17		
554	12473	Ritchie, JR	ATL	P	556.70	480	580		20		
555	10784	Vesia, Alex	LAD	P	557.70	380	600		18		
556	9124	Rea, Colin	CHC	P	558.33	463	598		23		
557	12346	Walcott, Sebastian	TEX	SS	558.48	414	597		14		
558	11645	Hamilton, David	MLW	2B	558.74	412	580		15		
559	11375	Weiss, Ryan	HOU	P	558.85	310	599		18		
560	6837	Scherzer, Max	TOR	P	560.07	475	599		17		
561	8189	Pomeranz, Drew	LAA	P	560.19	321	597		15		
562	11650	Harris, Hogan	ATH	P	560.48	303	600		15		
563	12345	Perkins, Jack	ATH	P	560.89	454	597		19		
564	9557	Sosa, Edmundo	PHI	2B, 3B	561.81	462	597		20		
565	7514	Santana, Carlos	ARZ	1B	561.81	398	582		12		
566	11935	Brown, Ben	CHC	P	561.93	420	590		21		
567	12249	Young, Cole	SEA	2B	564.52	492	598		18		
568	11038	Gonzales, Nick	PIT	2B	564.56	449	593		19		
569	11745	Gasser, Robert	MLW	P	566.11	501	599		18		
570	10725	Rogers, Tyler	TOR	P	566.44	461	598		18		
571	10318	Mauricio, Ronny	NYM	3B	566.78	477	600		16		
572	11906	Quero, Jeferson	MLW	C	567.11	404	595		11		
573	12192	Mathews, Quinn	STL	P	567.19	441	599		24		
574	12485	Ortiz, Abimelec	WAS	1B	567.26	492	591		17		
575	10024	Lauer, Eric	TOR	P	567.41	432	595		14		
576	11924	Povich, Cade	BAL	P	567.44	481	599		21		
577	10838	Bleday, JJ	CIN	OF	567.89	504	595		17		
578	11743	Schmitt, Casey	SF	2B, 3B	568.52	420	595		17		
579	12352	Made, Jesus	MLW	SS	568.56	409	595		11		
580	12124	Wrobleski, Justin	LAD	P	569.11	445	600		14		
581	10764	Raley, Luke	SEA	1B, OF	569.74	491	581		16		
582	8807	Rojas, Miguel	LAD	3B, 2B, SS	569.96	486	593		15		
583	12484	Jump, Gage	ATH	P	571.00	364	591		11		
584	10193	Ruiz, Esteury	MIA	OF	571.04	404	599		12		
585	11403	Jameson, Drey	ARZ	P	571.81	384	600		13		
586	8688	Pederson, Joc	TEX	UT	573.00	519	592		19		
587	9788	Bauers, Jake	MLW	OF, 1B	573.30	442	592		13		
588	11952	Loperfido, Joey	HOU	OF	573.37	486	596		14		
589	12209	Dollander, Chase	COL	P	573.59	514	597		18		
590	12445	Peguero, Joel	SF	P	574.85	407	579		9		
591	11675	Martinez, Angel	CLE	2B, OF	575.33	421	584		10		
592	11846	Young, Jacob	WAS	OF	575.44	482	597		17		
593	11401	Sears, JP	SD	P	575.52	466	592		10		
594	10234	Jackson, Jeremiah	BAL	OF	576.56	460	599		12		
595	11126	Topa, Justin	MIN	P	576.89	393	598		12		
596	11621	Montgomery, Mason	PIT	P	577.07	340	587		11		
597	9515	Alvarado, Jose	PHI	P	577.70	392	600		15		
598	10210	Conine, Griffin	MIA	OF	578.11	509	596		14		
599	11990	Rodriguez, Emmanuel	MIN	OF	578.33	484	598		12		
600	11289	Fortes, Nick	TB	C	578.81	513	599		13		
601	10694	Kay, Anthony	CWS	P	579.07	506	591		14		
602	12360	Barco, Hunter	PIT	P	579.52	440	594		10		
603	11307	Elder, Bryce	ATL	P	579.81	464	594		10		
604	12450	Crooks, Jimmy	STL	C	580.11	403	592		7		
605	12491	Lagrange, Carlos	NYY	P	580.41	471	594		9		
606	10209	Canning, Griffin	SD	P	580.41	487	596		12		
607	10025	Adam, Jason	SD	P	580.44	480	596		9		
608	11423	Henry, Cole	WAS	P	580.48	421	592		7		
609	11838	Schneider, Davis	TOR	2B, OF	580.85	450	600		13		
610	12483	Anderson, Kade	SEA	P	581.67	479	589		11		
611	10854	Manoah, Alek	LAA	P	582.15	516	599		12		
612	8212	Sanchez, Gary	MLW	C	582.22	493	597		10		
613	9764	Buehler, Walker	PHI	P	582.44	517	595		12		
614	12014	Fitts, Richard	STL	P	582.89	516	596		12		
615	10705	Heim, Jonah	ATL	C	584.15	515	594		12		
616	12475	Clifford, Ryan	NYM	1B	584.48	405	591		5		
617	11371	Henriquez, Ronny	MIA	P	584.52	499	590		6		
618	11531	Grissom, Vaughn	LAA	2B	584.56	493	598		9		
619	10937	Wong, Connor	BOS	C	584.59	525	600		10		
620	10225	Fraley, Jake	TB	OF	585.15	483	599		11		
621	11283	Crawford, Kutter	BOS	P	585.26	515	597		11		
622	12481	Wiggins, Jaxon	CHC	P	585.89	501	583		8		
623	10345	Myers, Tobias	NYM	P	586.07	446	599		9		
624	12196	Smith, Hagen	CWS	P	586.48	461	579		5		
625	10362	Benson, Will	CIN	OF	586.78	443	600		7		
626	12161	Ginn, J.T.	ATH	P	587.00	472	600		12		
627	11379	Bautista, Felix	BAL	P	587.70	297	546		2		
628	11789	Fry, David	CLE	UT	587.96	474	590		8		
629	11965	Amador, Adael	COL	2B	588.00	463	599		5		
630	9923	Barlow, Scott	ATH	P	588.30	493	578		5		
631	10688	Speier, Gabe	SEA	P	589.26	506	593		9		
632	11677	Vasquez, Randy	SD	P	589.56	448	560		4		
633	12273	Strowd, Kade	ARZ	P	589.56	495	554		4		
634	11954	Pauley, Graham	MIA	3B	589.59	482	600		6		
635	10853	Baker, Bryan	TB	P	590.22	532	596		10		
636	12026	Birdsong, Hayden	SF	P	591.00	520	586		6		
637	11046	Hassell III, Robert	WAS	OF	591.11	509	585		5		
638	12199	Thomas, Colby	ATH	OF	591.15	505	599		7		
639	12403	Hernandez, Heriberto	MIA	OF	591.52	534	597		11		
640	12488	Briceno, Josue	DET	C	591.56	499	550		3		
641	11792	Bradford, Cody	TEX	P	591.56	486	598		7		
642	11629	Yoshida, Masataka	BOS	UT	591.70	445	585		4		
643	12159	Casparius, Ben	LAD	P	591.96	528	595		6		
644	12232	Prielipp, Connor	MIN	P	592.04	432	579		3		
645	7150	Kershaw, Clayton	LAD	P	592.15	400	563		2		
646	12299	De Vries, Leodalis	ATH	SS	592.19	545	595		7		
647	11810	Mlodzinski, Carmen	PIT	P	592.26	528	599		6		
648	12197	Schultz, Noah	CWS	P	592.30	528	598		7		
649	12439	Karros, Kyle	COL	3B	592.44	529	593		5		
650	8895	Garcia, Yimi	TOR	P	592.48	505	587		5		
651	11876	Kerkering, Orion	PHI	P	592.52	520	587		5		
652	11557	Cruz, Fernando	NYY	P	592.52	486	571		4		
653	9862	Trevino, Jose	CIN	C	593.00	540	588		7		
654	11080	Toglia, Michael	COL	1B	593.37	395	395		1		
655	8919	Pham, Tommy	PIT	OF	593.48	485	597		3		
656	9880	Tellez, Rowdy	TEX	1B	593.70	510	573		3		
657	11223	Vierling, Matt	DET	OF	593.74	536	587		5		
658	12288	Bergert, Ryan	KC	P	593.78	502	600		5		
659	10960	Thompson, Ryan	ARZ	P	594.26	492	528		2		
660	11856	Saalfrank, Andrew	ARZ	P	594.30	566	595		11		
661	10444	Moore, Dylan	TEX	2B, OF	594.44	489	536		2		
662	10691	Heineman, Tyler	TOR	C	594.44	512	559		3		
663	9779	Kopech, Michael	LAD	P	594.48	565	597		11		
664	12355	Matthews, Brice	HOU	2B	594.67	561	600		11		
665	9937	Fernandez, Julian	WAS	P	594.78	433	433		1		
666	12546	White, Josh	MIA	P	595.30	501	547		2		
667	12476	Culpepper, Kaelen	MIN	SS	595.37	536	589		4		
668	10524	Akin, Keegan	BAL	P	595.41	529	580		3		
669	11605	Tiedemann, Ricky	TOR	P	595.44	548	598		6		
670	9583	Anderson, Drew	DET	P	595.56	484	571		2		
671	11987	Miller, Erik	SF	P	595.59	528	591		3		
672	11736	Encarnacion-Strand, Christian	CIN	1B	595.67	549	591		5		
673	12348	Susana, Jarlin	WAS	P	595.78	460	460		1		
674	8841	Hendricks, Kyle	LAA	P	595.85	467	596		2		
675	9974	Kelly, Michael	ATH	P	595.89	463	463		1		
676	10408	Isbel, Kyle	KC	OF	595.96	558	598		7		
677	12389	Blubaugh, AJ	HOU	P	596.00	532	598		6		
678	11470	Martin, Davis	CWS	P	596.07	497	587		3		
679	12489	Ingle, Cooper	CLE	C	596.07	493	594		3		
680	6696	McCutchen, Andrew	PIT	UT	596.07	522	547		2		
681	9295	Marquez, German	SD	P	596.22	492	581		2		
682	12340	Alvarado, Elvis	ATH	P	596.22	550	591		4		
683	11043	Campusano, Luis	SD	UT	596.26	545	600		5		
684	10821	White, Eli	ATL	OF	596.33	475	475		1		
685	10903	Sousa, Bennett	HOU	P	596.59	482	482		1		
686	12098	Schneemann, Daniel	CLE	2B, 3B, OF	596.59	534	588		4		
687	12496	Rada, Nelson	LAA	OF	596.70	493	593		2		
688	11902	Festa, David	MIN	P	596.70	530	593		3		
689	9938	Kinley, Tyler	ATL	P	596.74	543	582		3		
690	8659	McCullers Jr., Lance	HOU	P	596.85	550	597		5		
691	11986	McDonald, Trevor	SF	P	596.85	563	585		4		
692	12595	Troy, Tommy	ARZ	2B	596.89	490	490		1		
693	9500	Rosario, Amed	NYY	3B	596.93	543	589		3		
694	10955	Walls, Taylor	TB	SS	597.00	547	596		4		
695	12624	Arroyo, Michael	SEA	2B	597.19	532	594		3		
696	7683	Miller, Shelby	CHC	P	597.41	504	504		1		
697	10304	Jones, Nolan	CLE	OF	597.41	560	599		5		
698	12487	Doyle, Liam	STL	P	597.41	551	554		2		
699	12506	De Paula, Josue	LAD	OF	597.41	547	558		2		
700	12220	Klassen, George	LAA	P	597.48	513	594		2		
701	10161	Paddack, Chris	MIA	P	597.56	543	566		2		
702	7538	Flores, Wilmer	SF	1B	597.59	545	583		3		
703	11417	Ashcraft, Graham	CIN	P	597.59	556	590		3		
704	11855	Phillips, Connor	CIN	P	597.59	554	556		2		
705	11280	Junk, Janson	MIA	P	597.59	509	509		1		
706	8897	McCann, James	ARZ	C	597.63	551	600		5		
707	10839	Encarnacion, Jerar	SF	OF	597.67	511	511		1		
708	12377	Williamson, Ben	TB	3B	597.70	541	572		2		
709	12486	Gibson, Trey	BAL	P	597.78	568	580		3		
710	12231	Freeland, Alex	LAD	3B	597.78	562	592		3		
711	11863	Gipson-Long, Sawyer	DET	P	597.81	545	571		2		
712	11975	Mejia, Juan	COL	P	597.85	516	516		1		
713	9172	Kepler, Max	PHI	OF	597.85	533	584		2		
714	12374	Tolbert, Tyler	KC	OF	598.00	520	520		1		
715	12155	Sweeney, Trey	DET	SS	598.00	520	520		1		
716	11412	Allen, Logan	CLE	P	598.04	521	521		1		
717	10001	Toro, Abraham	BOS	1B	598.04	521	521		1		
718	12213	Bradfield, Enrique	BAL	OF	598.11	523	523		1		
719	12517	McDougal, Tanner	CWS	P	598.19	566	588		3		
720	10246	Wentz, Joey	ATL	P	598.22	562	596		4		
721	9549	Garver, Mitch	SEA	C	598.22	561	566		2		
722	12164	Zeferjahn, Ryan	LAA	P	598.30	546	583		2		
723	11442	Pallante, Andre	STL	P	598.48	571	593		3		
724	12505	Arnold, Jamie	ATH	P	598.52	534	534		1		
725	10604	Mattson, Isaac	PIT	P	598.59	536	536		1		
726	8929	Refsnyder, Rob	SEA	OF	598.63	537	537		1		
727	12181	Wagaman, Eric	MIN	1B, OF	598.63	555	594		3		
728	8170	Hendriks, Liam	BOS	P	598.74	544	597		2		
729	11779	Feduccia, Hunter	TB	C	598.74	540	540		1		
730	12631	Antonacci, Sam	CWS	2B	598.78	543	599		2		
731	12009	Kolek, Stephen	KC	P	598.78	541	541		1		
732	12444	Church, Nathan	STL	OF	598.81	565	578		2		
733	9965	McKenzie, Triston	CLE	P	598.89	544	544		1		
734	9524	Mateo, Jorge	ATL	SS	598.93	561	585		2		
735	11584	Rodriguez, Endy	PIT	1B	598.96	551	596		2		
736	10205	Valera, George	CLE	UT	598.96	551	596		2		
737	9600	Torrens, Luis	NYM	C	599.07	573	591		3		
738	11681	DeLuca, Jonny	TB	OF	599.11	575	576		2		
739	12521	Montgomery, Braden	CWS	OF	599.11	570	581		2		
740	11956	Whisenhunt, Carson	SF	P	599.19	552	552		1		
741	12518	Alderman, Kemp	MIA	OF	599.26	554	554		1		
742	11606	Mead, Curtis	CWS	1B, 3B	599.33	567	590		2		
743	12369	Lord, Brad	WAS	P	599.41	569	590		2		
744	12526	Neighbors, Tyson	BAL	P	599.41	558	558		1		
745	8947	Newcomb, Sean	CWS	P	599.44	578	582		2		
746	10308	Sandoval, Patrick	BOS	P	599.48	583	595		4		
747	12144	Del Castillo, Adrian	ARZ	UT	599.48	587	588		3		
748	12378	Fulford, Braxton	COL	C	599.52	580	582		2		
749	10167	Winn, Cole	TEX	P	599.56	562	562		1		
750	10406	Alcantara, Kevin	CHC	OF	599.56	576	587		2		
751	8363	Raley, Brooks	NYM	P	599.59	563	563		1		
752	8418	Walker, Taijuan	PHI	P	599.63	572	593		2		
753	10661	Clase, Emmanuel	CLE	P	599.63	564	564		1		
754	9819	Mikolas, Miles	WAS	P	599.67	565	565		1		
755	10060	Festa, Matt	CLE	P	599.70	566	566		1		
756	11459	Holton, Tyler	DET	P	599.78	577	592		2		
757	12207	Harrington, Thomas	PIT	P	599.81	569	569		1		
758	8280	Quintana, Jose	COL	P	599.81	580	590		2		
759	11797	Monasterio, Andruw	BOS	SS	599.85	570	570		1		
760	12131	Hopkins, Brody	TB	P	599.85	570	570		1		
761	8954	Conforto, Michael	CHC	OF	599.89	571	571		1		
762	12495	Bolte, Henry	ATH	OF	599.89	571	571		1		
763	11666	Martinez, Justin	ARZ	P	600.00	574	574		1		
764	10842	Lee, Dylan	ATL	P	600.04	582	594		2		
765	9028	Lorenzen, Michael	COL	P	600.04	582	594		2		
766	10645	Urquidy, Jose	PIT	P	600.04	575	575		1		
767	9387	Frazier, Adam	KC	2B, OF	600.07	585	592		2		
768	10910	Mears, Nick	KC	P	600.07	576	576		1		
769	9290	Okert, Steven	HOU	P	600.11	577	577		1		
770	11536	Nardi, Andrew	MIA	P	600.11	585	593		2		
771	10487	Sborz, Josh	TEX	P	600.15	578	578		1		
772	10445	Urias, Ramon	STL	2B, 3B	600.15	585	594		2		
773	12296	Dreyer, Jack	LAD	P	600.19	579	579		1		
774	11615	De Los Santos, Deyvison	MIA	1B	600.19	579	579		1		
775	8941	Freeland, Kyle	COL	P	600.19	579	579		1		
776	10926	Espino, Daniel	CLE	P	600.19	579	579		1		
777	11945	Teodo, Emiliano	TEX	P	600.22	580	580		1		
778	10135	Knizner, Andrew	SEA	C	600.26	581	581		1		
779	12607	Baumler, Carter	TEX	P	600.30	585	598		2		
780	11850	Funderburk, Kody	MIN	P	600.33	583	583		1		
781	12406	Ritter, Ryan	COL	2B, SS	600.37	584	584		1		
782	9782	Jimenez, Eloy	BAL	UT	600.37	584	584		1		
783	12440	Gilbert, Drew	SF	OF	600.37	584	584		1		
784	11847	Wicks, Jordan	CHC	P	600.41	585	585		1		
785	11370	Duran, Ezequiel	TEX	1B, SS	600.48	587	587		1		
786	9646	Montgomery, Jordan	TEX	P	600.52	588	588		1		
787	11516	Massey, Michael	KC	2B	600.56	589	589		1		
788	11205	Bender, Anthony	MIA	P	600.63	591	591		1		
789	11400	Butto, Jose	SF	P	600.63	591	591		1		
790	12030	Rodriguez, Hector	CIN	OF	600.67	592	592		1		
791	12277	Avila, Luinder	KC	P	600.67	592	592		1		
792	8686	Austin, Tyler	CHC	1B	600.70	593	593		1		
793	11064	Marchan, Rafael	PHI	C	600.70	593	593		1		
794	11468	Silseth, Chase	LAA	P	600.74	594	594		1		
795	11658	Ramos, Bryan	BAL	3B	600.78	595	595		1		
796	12008	Slaten, Justin	BOS	P	600.78	595	595		1		
797	12415	Fuentes, Didier	ATL	P	600.78	595	595		1		
798	12371	Braun, Lucas	ATL	P	600.78	595	595		1		
799	12307	Ward, Ryan	LAD	OF	600.81	596	596		1		
800	11515	Eaton, Nate	BOS	OF	600.93	599	599		1		
801	9807	Yarbrough, Ryan	NYY	P	600.93	599	599		1		
802	11762	Flores Jr., Rafael	PIT	1B	600.93	599	599		1		
803	11552	Little, Brendon	TOR	P	600.93	599	599		1		
804	12034	Crim, Blaine	COL	1B	600.96	600	600		1		
